protein,renan_analysis/W_2_BETA_12_D_8_mu_0.0,renan_analysis/W_2_BETA_3_D_8_mu_5e-05
ATP13A3,0.36,0.0
ATP13A4,0.02,0.0
ATP1A1,0.9,0.32
ATP1A2,0.56,0.02
ATP1A3,0.56,0.18
ATP1A4,0.6,0.02
ATP1B1,0.84,0.4
ATP1B2,0.04,0.0
ATP1B3,0.46,0.08
ATP2A1,0.54,0.28
ATP2A2,0.94,0.32
ATP2A3,0.34,0.12
ATP2B1,0.44,0.06
ATP2B2,0.6,0.2
ATP2B3,0.44,0.02
ATP2B4,1.0,1.0
ATP2C1,0.32,0.02
ATP2C2,0.04,0.02
ATP4A,0.94,0.5
ATP4B,0.18,0.06
ATP5A1,0.98,0.18
ATP5B,0.98,0.16
ATP5C1,0.94,0.0
ATP5D,0.44,0.2
ATP5E,0.06,0.0
ATP5F1,0.7,0.08
ATP5G1,0.12,0.0
ATP5G2,0.2,0.02
ATP5G3,0.1,0.1
ATP5H,0.4,0.14
ATP5I,0.3,0.04
ATP5J,0.3,0.22
ATP5J2,0.62,0.38
ATP5J2-PTCD1,0.02,0.0
ATP5L,0.56,0.26
ATP5O,0.76,0.12
ATP6,0.08,0.06
ATP6AP1,0.58,0.2
ATP6AP2,0.48,0.2
ATP6V0A1,0.52,0.28
ATP6V0A2,0.44,0.0
ATP6V0A4,0.18,0.04
ATP6V0B,0.2,0.1
ATP6V0C,0.36,0.3
ATP6V0D1,0.6,0.04
ATP6V0D2,0.26,0.26
ATP6V0E1,0.06,0.0
ATP6V1A,0.82,0.28
ATP6V1B1,0.94,0.64
ATP6V1B2,0.8,0.26
ATP6V1C1,0.84,0.1
ATP6V1C2,0.02,0.02
ATP6V1D,0.72,0.02
ATP6V1E1,0.92,0.04
ATP6V1E2,0.04,0.0
ATP6V1F,0.72,0.24
ATP6V1G1,0.42,0.14
ATP6V1G2,0.04,0.02
ATP6V1H,0.76,0.38
ATP7A,0.32,0.16
ATP7B,0.66,0.62
ATP8,0.3,0.12
ATP8A1,0.04,0.02
ATP8A2,0.02,0.04
ATP8B1,0.02,0.0
ATP8B2,0.08,0.0
ATP8B3,0.14,0.0
ATP9A,0.14,0.12
ATP9B,0.06,0.06
ATPAF1,0.22,0.04
ATPAF2,1.0,1.0
ATPIF1,0.16,0.14
ATR,1.0,0.54
ATRAID,0.1,0.16
ATRIP,0.84,0.48
ATRN,0.28,0.0
ATRNL1,0.02,0.02
ATRX,0.92,0.74
ATXN1,1.0,0.72
ATXN10,0.86,0.38
ATXN1L,0.94,0.58
ATXN2,0.96,0.76
ATXN2L,0.82,0.16
ATXN3,1.0,0.48
ATXN3L,0.3,0.3
ATXN7,1.0,0.78
ATXN7L1,0.04,0.0
ATXN7L2,0.3,0.28
ATXN7L3,0.78,0.66
ATXN7L3B,0.0,0.02
AUH,0.06,0.0
AUNIP,0.0,0.06
AUP1,0.9,0.68
AURKA,1.0,0.64
AURKAIP1,0.2,0.1
AURKB,1.0,0.86
AURKC,0.64,0.2
AUTS2,0.08,0.02
AVEN,0.36,0.1
AVIL,0.08,0.0
AVL9,0.08,0.0
AVP,0.24,0.18
AVPI1,0.12,0.02
AVPR1A,0.14,0.02
AVPR1B,0.04,0.0
AVPR2,0.46,0.22
AXIN1,1.0,0.76
AXIN2,0.48,0.16
AXL,0.82,0.2
AZGP1,0.22,0.12
AZI1,0.6,0.16
AZI2,0.84,0.6
AZIN1,0.38,0.06
AZU1,0.08,0.1
B-raf,0.02,0.04
B2M,0.98,0.92
B3GALNT1,0.02,0.08
B3GALNT2,0.12,0.0
B3GALT2,0.06,0.02
B3GALT4,0.24,0.08
B3GAT1,0.02,0.06
B3GAT3,0.0,0.1
B3GNT1,0.06,0.0
B3GNT2,0.12,0.0
B3GNT4,0.12,0.1
B3GNT5,0.08,0.06
B3GNT9,0.04,0.16
B3GNTL1,0.2,0.04
B4GALNT1,0.08,0.0
B4GALT1,0.38,0.08
B4GALT2,0.0,0.02
B4GALT3,0.24,0.2
B4GALT5,0.04,0.0
B9D1,0.34,0.08
B9D2,0.08,0.02
BAALC,0.08,0.08
BAAT,0.0,0.04
BABAM1,0.98,0.92
BACE1,0.62,0.58
BACE2,0.24,0.1
BACH1,0.92,0.62
BACH2,0.54,0.4
BAD,1.0,0.94
BAF53A,0.0,0.04
BAG1,1.0,0.64
BAG2,0.98,0.12
BAG3,1.0,0.0
BAG4,0.64,0.12
BAG5,0.64,0.34
BAG6,1.0,0.24
BAHCC1,0.16,0.08
BAHD1,0.72,0.64
BAI1,0.58,0.44
BAI2,0.28,0.16
BAI3,0.02,0.06
BAIAP2,0.98,0.7
BAIAP2L1,0.64,0.4
BAIAP3,0.12,0.06
BAK1,0.96,0.92
BAMBI,0.52,0.22
BANF1,0.94,0.4
BANK1,0.22,0.1
BANP,0.6,0.24
BAP1,0.96,0.78
BARD1,1.0,0.0
BARHL1,0.06,0.12
BARX1,0.26,0.16
BARX2,0.04,0.0
BASP1,0.46,0.16
BATF,0.92,0.82
BATF2,0.66,0.6
BATF3,0.88,0.76
BAX,1.0,0.9
BAZ1A,0.9,0.64
BAZ1B,0.96,0.58
BAZ2A,0.62,0.42
BAZ2B,0.26,0.2
BBC3,0.82,0.74
BBIP1,0.04,0.04
BBOX1,0.06,0.1
BBS1,0.8,0.62
BBS10,0.62,0.34
BBS12,0.44,0.1
BBS2,0.84,0.38
BBS4,0.8,0.44
BBS5,0.22,0.12
BBS7,0.8,0.28
BBS9,0.5,0.38
BBX,0.3,0.04
BCAM,0.3,0.16
BCAN,0.26,0.16
BCAP29,0.46,0.22
BCAP31,1.0,0.8
BCAR1,1.0,0.78
BCAR3,0.82,0.42
BCAS1,0.32,0.04
BCAS2,1.0,1.0
BCAS3,0.14,0.0
BCAS4,0.02,0.0
BCAT1,1.0,1.0
BCAT2,1.0,1.0
BCCIP,0.9,0.36
BCDIN3D,0.04,0.0
BCE1,0.08,0.0
BCHE,0.02,0.02
BCKDHA,0.22,0.08
BCKDHB,0.22,0.04
BCKDK,0.76,0.28
BCL10,1.0,0.82
BCL11A,0.74,0.42
BCL11B,0.96,0.76
BCL2,1.0,0.82
BCL2A1,0.74,0.38
BCL2L1,1.0,0.92
BCL2L10,0.32,0.22
BCL2L11,0.98,0.96
BCL2L12,0.32,0.02
BCL2L13,0.2,0.14
BCL2L14,0.34,0.12
BCL2L2,0.9,0.84
BCL2L2-PABPN1,0.26,0.0
BCL3,0.98,0.66
BCL6,1.0,0.66
BCL6B,0.18,0.2
BCL7A,0.3,0.12
BCL7B,0.08,0.0
BCL7C,0.54,0.32
BCL9,0.7,0.24
BCL9L,0.1,0.02
BCLAF1,0.94,0.22
BCOR,0.94,0.72
BCORL1,0.56,0.26
BCR,1.0,0.46
BCR-ABL,0.04,0.1
BCR/ABL,0.14,0.0
BCS1L,0.28,0.02
BDH1,0.06,0.04
BDH2,0.48,0.0
BDKRB1,0.08,0.0
BDKRB2,0.22,0.14
BDNF,0.3,0.18
BDP1,0.1,0.2
BECN1,1.0,0.8
BECN1P1,0.16,0.06
BEGAIN,0.82,0.58
BEND2,0.12,0.16
BEND3,0.4,0.1
BEND5,0.4,0.22
BEND7,0.3,0.4
BEST1,0.14,0.02
BET1,0.48,0.2
BET1L,0.36,0.24
BEX1,0.16,0.0
BEX2,0.34,0.08
BEX4,0.04,0.0
BFAR,0.76,0.36
BFSP1,0.08,0.0
BFSP2,0.02,0.0
BGLAP,0.02,0.02
BGN,0.42,0.24
BHLHA15,0.04,0.0
BHLHB9,0.34,0.04
BHLHE40,0.96,0.34
BHLHE41,0.34,0.34
BHMT,0.3,0.16
BHMT2,0.02,0.0
BICD1,0.4,0.26
BICD2,0.4,0.24
BID,1.0,0.78
BIK,0.74,0.84
BIN1,0.92,0.68
BIN2,0.14,0.04
BIN3,0.4,0.12
BIRC2,1.0,0.84
BIRC3,1.0,0.8
BIRC5,0.96,0.96
BIRC6,0.92,0.78
BIRC7,0.86,0.56
BIRC8,0.48,0.44
BIVM-ERCC5,0.2,0.0
BLCAP,0.02,0.0
BLID,0.06,0.14
BLK,0.5,0.38
BLM,1.0,0.88
BLMH,0.78,0.36
BLNK,0.98,0.56
BLOC1S1,0.86,0.54
BLOC1S2,0.68,0.52
BLOC1S3,0.32,0.28
BLOC1S4,0.26,0.28
BLOC1S5,0.44,0.3
BLOC1S6,0.92,0.9
BLVRA,0.44,0.1
BLVRB,0.3,0.0
BLZF1,0.58,0.28
BMF,0.58,0.48
BMI1,0.02,0.04
BMP1,1.0,1.0
BMP10,0.06,0.0
BMP15,0.0,0.02
BMP2,0.94,0.82
BMP2K,0.28,0.0
BMP3,0.14,0.04
BMP4,0.8,0.72
BMP6,0.36,0.2
BMP7,0.68,0.52
BMP8B,0.18,0.06
BMPER,0.02,0.04
BMPR1A,0.98,0.88
BMPR1B,0.98,0.42
BMPR2,0.9,0.74
BMS1,0.42,0.02
BMX,0.86,0.6
BNC1,0.06,0.12
BNC2,0.06,0.0
BNIP1,0.52,0.04
BNIP2,0.82,0.66
BNIP3,0.78,0.76
BNIP3L,0.92,0.8
BNIPL,0.76,0.72
BOC,0.2,0.06
BOD1,0.36,0.0
BOD1L1,0.38,0.02
BOK,0.26,0.18
BOLA1,0.16,0.02
BOLA2B,0.38,0.0
BOLL,0.14,0.02
BOP1,0.78,0.14
BORA,0.5,0.26
BPGAP1,0.16,0.18
BPGM,0.48,0.14
BPHL,0.04,0.0
BPIFA1,0.18,0.08
BPNT1,0.18,0.0
BPTF,0.76,0.54
BPY2C,0.12,0.36
BRAF,1.0,0.74
BRAP,0.9,0.38
BRAT1,0.52,0.06
BRCA1,1.0,0.0
BRCA2,1.0,0.94
BRCC3,1.0,0.9
BRD1,0.46,0.32
BRD2,0.44,0.22
BRD3,0.18,0.14
BRD4,1.0,0.62
BRD7,0.94,0.52
BRD8,0.74,0.48
BRD9,0.22,0.06
BRDT,0.12,0.06
BRE,0.98,1.0
BRF1,0.74,0.64
BRF2,0.98,0.52
BRI3,0.0,0.02
BRI3BP,0.3,0.0
BRINP1,0.6,0.26
BRINP2,0.06,0.0
BRINP3,0.02,0.0
BRIP1,0.76,0.46
BRIX,0.16,0.0
BRIX1,0.8,0.0
BRK1,0.48,0.22
BRMS1,0.76,0.72
BRMS1L,0.4,0.3
BROX,1.0,1.0
BRPF1,0.4,0.5
BRPF3,0.2,0.06
BRSK1,0.08,0.0
BRSK2,0.38,0.16
BRWD1,0.4,0.1
BRWD3,0.06,0.0
BSCL2,0.44,0.0
BSDC1,0.16,0.04
BSG,0.88,0.48
BSN,0.2,0.08
BSND,0.1,0.06
BSPRY,0.02,0.0
BST1,0.12,0.06
BST2,0.46,0.18
BTAF1,0.68,0.24
BTBD1,0.7,0.2
BTBD10,0.76,0.16
BTBD16,0.06,0.0
BTBD2,0.98,0.74
BTBD3,0.22,0.0
BTBD6,0.08,0.08
BTBD7,0.08,0.0
BTBD8,0.02,0.0
BTBD9,0.38,0.1
BTC,0.18,0.1
BTD,0.06,0.0
BTF3,0.8,0.08
BTF3L4,0.72,0.0
BTG1,0.86,0.54
BTG2,0.84,0.7
BTG3,0.3,0.14
BTG4,0.04,0.0
BTK,1.0,0.46
BTLA,0.3,0.14
BTN1A1,0.06,0.04
BTN2A1,0.14,0.0
BTN2A2,0.08,0.0
BTN3A1,0.18,0.02
BTN3A2,0.16,0.0
BTN3A3,0.38,0.1
BTNL2,0.02,0.0
BTNL8,0.12,0.04
BTRC,1.0,0.54
BUB1,0.92,0.82
BUB1B,1.0,0.9
BUB3,0.96,0.78
BUD13,0.32,0.2
BUD31,1.0,1.0
BYSL,0.92,0.0
BZRAP1,0.06,0.08
BZW1,0.7,0.28
BZW2,0.72,0.26
C10orf10,0.38,0.44
C10orf118,0.26,0.1
C10orf12,0.16,0.04
C10orf137,0.5,0.18
C10orf2,0.2,0.08
C10orf32,0.02,0.0
C10orf35,0.0,0.04
C10orf54,0.2,0.04
C10orf55,0.08,0.0
C10orf62,0.52,0.52
C10orf76,0.1,0.0
C10orf82,0.1,0.0
C10orf88,0.26,0.06
C10orf90,0.04,0.0
C10orf95,0.02,0.0
C11orf1,0.12,0.04
C11orf16,0.1,0.0
C11orf30,0.72,0.54
C11orf45,0.02,0.0
C11orf48,0.18,0.0
C11orf49,0.46,0.22
C11orf52,0.08,0.0
C11orf53,0.18,0.04
C11orf54,1.0,1.0
C11orf57,0.24,0.1
C11orf58,0.86,0.44
C11orf63,0.22,0.0
C11orf65,0.1,0.0
C11orf68,0.2,0.12
C11orf70,0.12,0.0
C11orf71,0.08,0.0
C11orf73,0.08,0.02
C11orf74,0.14,0.02
C11orf80,0.02,0.02
C11orf82,0.02,0.0
C11orf83,0.18,0.04
C11orf84,0.34,0.0
C11orf87,0.02,0.02
C12orf10,0.54,0.26
C12orf23,0.14,0.02
C12orf29,0.18,0.0
C12orf39,0.02,0.0
C12orf4,0.42,0.06
C12orf43,0.02,0.0
C12orf44,0.9,0.68
C12orf45,0.16,0.08
C12orf5,0.42,0.12
C12orf52,0.26,0.2
C12orf57,0.22,0.14
C12orf65,0.1,0.0
C12orf68,0.02,0.0
C14orf1,0.98,0.88
C14orf119,0.1,0.02
C14orf142,1.0,1.0
C14orf159,0.02,0.0
C14orf166,0.8,0.36
C14orf169,0.18,0.04
C14orf2,0.02,0.0
C14orf80,0.14,0.04
C14orf93,0.14,0.0
C15orf38-AP3S2,0.4,0.02
C15orf39,0.42,0.06
C15orf40,0.14,0.0
C15orf41,0.08,0.06
C15orf48,0.08,0.06
C15orf57,0.02,0.0
C15orf59,0.16,0.0
C16orf13,0.04,0.0
C16orf45,0.18,0.0
C16orf58,0.2,0.0
C16orf59,0.16,0.12
C16orf62,0.22,0.0
C16orf70,0.22,0.08
C16orf74,0.2,0.12
C16orf78,0.16,0.0
C16orf80,0.46,0.14
C16orf87,0.1,0.12
C16orf89,0.08,0.0
C17orf103,0.0,0.02
C17orf49,0.1,0.02
C17orf53,0.04,0.02
C17orf59,0.0,0.04
C17orf62,0.12,0.1
C17orf70,0.58,0.56
C17orf75,0.04,0.0
C17orf76-AS1,0.0,0.02
C17orf82,0.1,0.04
C17orf85,0.2,0.08
C17orf97,0.08,0.06
C18orf21,0.12,0.0
C18orf25,0.46,0.1
C18orf32,0.14,0.04
C18orf45,0.04,0.02
C18orf54,0.14,0.18
C18orf56,0.12,0.22
C18orf8,0.3,0.04
C19orf10,0.22,0.08
C19orf12,0.14,0.0
C19orf18,0.04,0.0
C19orf25,0.3,0.34
C19orf33,0.06,0.0
C19orf40,0.6,0.58
C19orf43,0.3,0.16
C19orf44,0.04,0.0
C19orf47,0.02,0.0
C19orf52,0.26,0.0
C19orf53,0.08,0.0
C19orf54,0.08,0.0
C19orf57,0.68,0.38
C19orf60,0.52,0.36
C19orf66,0.04,0.0
C19orf68,0.22,0.04
C19orf70,0.38,0.26
C19orf80,0.1,0.1
C1D,0.52,0.34
C1GALT1,0.16,0.1
C1GALT1C1,0.18,0.02
C1QA,0.6,0.48
C1QB,0.26,0.12
C1QBP,1.0,0.06
C1QC,0.16,0.1
C1QL3,0.02,0.04
C1QTNF1,0.28,0.14
C1QTNF2,0.02,0.0
C1QTNF7,0.06,0.0
C1QTNF9,0.4,0.18
C1R,0.3,0.18
C1RL,0.02,0.04
C1S,0.48,0.24
C1orf105,0.06,0.0
C1orf106,0.04,0.0
C1orf109,0.2,0.02
C1orf110,0.02,0.0
C1orf111,0.18,0.08
C1orf112,0.14,0.0
C1orf115,0.02,0.0
C1orf116,0.14,0.04
C1orf122,0.0,0.02
C1orf123,0.34,0.0
C1orf131,0.04,0.0
C1orf168,0.0,0.04
C1orf173,0.04,0.02
C1orf174,0.3,0.32
C1orf198,0.1,0.0
C1orf21,0.04,0.0
C1orf216,0.22,0.16
C1orf27,0.08,0.0
C1orf35,0.44,0.24
C1orf43,0.2,0.0
C1orf50,0.04,0.0
C1orf52,0.22,0.02
C1orf63,0.26,0.06
C1orf64,0.02,0.0
C1orf65,0.68,0.5
C1orf68,0.04,0.0
C1orf86,0.54,0.46
C1orf87,0.02,0.0
C1orf94,0.58,0.26
C2,0.24,0.12
C20orf112,0.04,0.0
C20orf194,0.04,0.0
C20orf195,0.42,0.42
C20orf196,0.1,0.02
C20orf24,0.8,0.58
C20orf27,0.1,0.12
C20orf96,0.1,0.0
C21orf33,0.2,0.0
C21orf58,0.04,0.0
C21orf59,0.38,0.14
C21orf91,0.16,0.04
C22orf39,0.04,0.0
C22orf46,0.1,0.0
C22orf9,0.02,0.0
C2CD2,0.06,0.0
C2CD2L,0.02,0.02
C2CD3,0.1,0.0
C2CD5,0.18,0.02
C2orf27B,0.0,0.04
C2orf42,0.04,0.02
C2orf43,0.16,0.0
C2orf44,0.68,0.38
C2orf47,0.4,0.06
C2orf49,0.14,0.08
C2orf50,0.02,0.06
C2orf57,0.06,0.0
C2orf62,0.08,0.0
C2orf73,0.12,0.06
C2orf74,0.04,0.02
C2orf76,0.08,0.0
C2orf88,0.38,0.28
C3,0.96,0.78
C3AR1,0.02,0.06
C3orf17,0.42,0.1
C3orf20,0.08,0.0
C3orf33,0.08,0.0
C3orf36,0.02,0.0
C3orf38,0.26,0.0
C3orf62,0.02,0.0
C4B,0.22,0.16
C4BPA,0.42,0.34
C4BPB,0.02,0.0
C4B_2,0.08,0.02
C4orf17,0.44,0.22
C4orf21,0.08,0.0
C4orf22,0.1,0.0
C4orf27,0.22,0.1
C4orf29,0.06,0.0
C4orf32,0.28,0.0
C4orf42,0.08,0.02
C4orf46,0.1,0.02
C4orf6,0.04,0.0
C5,0.36,0.14
C5AR1,0.24,0.06
C5orf15,0.44,0.0
C5orf22,0.48,0.12
C5orf24,0.06,0.0
C5orf28,0.06,0.0
C5orf30,0.18,0.14
C5orf34,0.24,0.0
C5orf42,0.16,0.02
C5orf51,0.18,0.0
C5orf54,0.32,0.18
C5orf55,0.18,0.14
C6,0.3,0.16
C6orf106,0.6,0.0
C6orf136,0.04,0.06
C6orf15,0.02,0.0
C6orf165,0.22,0.3
C6orf201,0.16,0.02
C6orf203,0.22,0.04
C6orf211,0.3,0.06
C6orf25,0.04,0.02
C6orf47,0.06,0.02
C6orf62,0.04,0.12
C6orf89,0.06,0.0
C7,0.32,0.08
C7orf25,0.66,0.52
C7orf26,0.2,0.14
C7orf31,0.14,0.0
C7orf34,0.04,0.12
C7orf43,0.12,0.0
C7orf50,0.52,0.22
C7orf55-LUC7L2,0.06,0.0
C8A,0.12,0.02
C8B,0.04,0.1
C8G,0.04,0.02
C8orf30A,0.12,0.22
C8orf33,0.94,0.7
C8orf34,0.02,0.0
C8orf4,0.06,0.0
C8orf47,0.02,0.0
C8orf48,0.18,0.2
C8orf59,0.3,0.0
C8orf74,0.22,0.1
C8orf76,0.04,0.0
C9,0.26,0.1
C9orf114,0.22,0.0
C9orf117,0.02,0.0
C9orf142,0.04,0.0
C9orf156,0.04,0.02
C9orf16,0.24,0.1
C9orf163,0.12,0.06
C9orf169,0.08,0.0
C9orf24,0.0,0.04
C9orf3,0.08,0.0
C9orf40,0.06,0.0
C9orf41,0.26,0.02
C9orf50,0.02,0.0
C9orf64,0.1,0.0
C9orf72,0.18,0.02
C9orf75,0.04,0.0
C9orf78,0.34,0.18
C9orf89,0.06,0.06
C9orf9,0.2,0.06
C9orf91,0.04,0.06
CA1,0.22,0.14
CA11,0.04,0.12
CA12,0.54,0.24
CA2,0.6,0.48
CA3,0.02,0.0
CA4,0.14,0.1
CA5A,0.04,0.0
CA8,0.3,0.12
CA9,0.76,0.2
CAAP1,0.24,0.24
CAB39,0.88,0.62
CAB39L,0.24,0.06
CABIN1,0.8,0.58
CABLES1,0.16,0.0
CABLES2,0.18,0.0
CABP1,0.46,0.4
CABP2,0.18,0.08
CABP5,0.0,0.02
CABYR,0.14,0.0
CACFD1,0.02,0.0
CACHD1,0.26,0.16
CACNA1A,1.0,0.44
CACNA1B,0.24,0.22
CACNA1C,0.66,0.26
CACNA1D,0.08,0.0
CACNA1E,0.06,0.02
CACNA1G,0.08,0.04
CACNA1H,0.08,0.06
CACNA1I,0.28,0.16
CACNA1S,0.16,0.14
CACNA2D1,0.08,0.02
CACNA2D2,0.02,0.0
CACNA2D3,0.0,0.08
CACNB1,0.38,0.1
CACNB2,0.04,0.04
CACNB3,0.1,0.14
CACNB4,0.5,0.32
CACNG2,0.36,0.2
CACNG3,0.02,0.0
CACNG4,0.02,0.04
CACTIN,0.18,0.02
CACUL1,0.32,0.0
CACYBP,0.94,0.52
CAD,0.96,0.08
CADM1,0.26,0.24
CADM3,0.04,0.0
CADM4,0.2,0.0
CADPS,0.04,0.08
CADPS2,0.28,0.24
CALB1,0.5,0.16
CALB2,0.04,0.0
CALCA,0.3,0.24
CALCOCO1,0.54,0.28
CALCOCO2,1.0,0.88
CALCR,0.24,0.2
CALCRL,0.28,0.12
CALD1,1.0,1.0
CALHM2,0.04,0.0
CALM3,1.0,0.0
CALML3,0.42,0.34
CALML5,0.52,0.2
CALML6,0.02,0.0
CALR,0.96,0.3
CALR3,0.02,0.0
CALU,1.0,0.28
CALY,0.1,0.08
CAMK1,0.98,0.12
CAMK1D,0.64,0.22
CAMK1G,0.22,0.04
CAMK2A,0.88,0.4
CAMK2B,0.6,0.16
CAMK2D,0.86,0.28
CAMK2G,0.78,0.32
CAMK2N2,0.14,0.06
CAMK4,0.46,0.14
CAMKK1,0.38,0.12
CAMKK2,0.78,0.24
CAMKMT,0.34,0.14
CAMKV,0.22,0.06
CAMLG,0.7,0.22
CAMP,0.52,0.32
CAMSAP1,0.32,0.04
CAMSAP2,0.2,0.16
CAMSAP3,0.14,0.04
CAMTA1,0.02,0.0
CAMTA2,0.02,0.08
CAND1,1.0,0.0
CAND2,0.42,0.24
CANX,1.0,0.42
CAP1,0.78,0.36
CAP2,0.48,0.1
CAPG,0.08,0.0
CAPN1,1.0,0.38
CAPN10,0.12,0.08
CAPN11,0.22,0.24
CAPN15,0.36,0.04
CAPN2,0.92,0.46
CAPN3,0.52,0.3
CAPN5,0.28,0.06
CAPN6,0.06,0.04
CAPN7,0.34,0.06
CAPNS1,1.0,0.56
CAPNS2,0.02,0.0
CAPRIN1,0.64,0.14
CAPRIN2,0.18,0.06
CAPSL,0.12,0.0
CAPZA1,0.92,0.4
CAPZA2,0.62,0.22
CAPZA3,0.06,0.0
CAPZB,0.96,0.16
CARD10,0.62,0.36
CARD11,0.92,0.66
CARD14,0.38,0.22
CARD16,0.16,0.12
CARD6,0.24,0.12
CARD8,0.46,0.3
CARF,0.14,0.02
CARHSP1,0.62,0.18
CARKD,0.12,0.06
CARM1,1.0,0.5
CARNS1,0.12,0.06
CARS,0.72,0.46
CARTPT,0.06,0.02
CASC1,0.12,0.0
CASC3,0.74,0.18
CASC4,0.08,0.04
CASC5,0.86,0.82
CASK,1.0,0.78
CASKIN1,0.06,0.08
CASKIN2,0.06,0.02
CASP1,0.98,0.76
CASP10,1.0,0.78
CASP12,0.24,0.12
CASP14,0.42,0.2
CASP2,0.86,0.58
CASP3,1.0,0.12
CASP4,0.82,0.4
CASP5,0.18,0.14
CASP6,0.9,0.44
CASP7,1.0,0.36
CASP8,1.0,0.42
CASP8AP2,0.92,0.58
CASP9,1.0,0.98
CASPR4,0.02,0.02
CASQ2,0.12,0.04
CASR,0.6,0.24
CASS4,0.06,0.0
CAST,0.68,0.18
CAT,0.7,0.28
CATSPER1,0.6,0.5
CATSPER2,0.02,0.02
CATSPERG,0.08,0.0
CAV1,1.0,0.22
CAV2,0.4,0.36
CAV3,0.8,0.36
CBFA2T2,0.76,0.46
CBFA2T3,0.68,0.46
CBFB,0.84,0.46
CBL,1.0,0.6
CBLB,0.98,0.68
CBLC,0.9,0.62
CBLL1,0.7,0.2
CBLN4,0.02,0.0
CBR1,0.88,0.38
CBR3,0.38,0.18
CBR4,0.08,0.0
CBS,0.96,0.0
CBWD1,0.36,0.04
CBWD2,0.44,0.08
CBWD3,0.26,0.02
CBWD5,0.26,0.04
CBWD6,0.3,0.0
CBWD7,0.16,0.0
CBX1,1.0,1.0
CBX2,0.88,0.58
CBX3,1.0,1.0
CBX4,0.98,0.84
CBX5,1.0,1.0
CBX6,0.96,0.72
CBX7,0.98,0.86
CBX8,1.0,0.64
CBY1,0.4,0.2
CC2D1A,0.22,0.1
CC2D1B,0.12,0.1
CC2D2A,0.02,0.0
CCAR1,0.7,0.28
CCAR2,0.98,0.3
CCBE1,0.12,0.08
CCBL1,0.04,0.06
CCBL2,0.38,0.02
CCDC101,0.66,0.48
CCDC104,0.52,0.1
CCDC106,0.82,0.58
CCDC107,0.14,0.12
CCDC109B,0.1,0.08
CCDC11,0.16,0.24
CCDC110,0.12,0.0
CCDC112,0.24,0.14
CCDC113,0.24,0.04
CCDC115,0.36,0.12
CCDC116,0.18,0.22
CCDC117,0.08,0.0
CCDC12,0.16,0.06
CCDC120,0.4,0.34
CCDC121,0.16,0.08
CCDC124,0.14,0.0
CCDC126,0.02,0.0
CCDC127,0.2,0.12
CCDC130,0.64,0.6
CCDC132,0.04,0.0
CCDC134,0.22,0.14
CCDC136,0.4,0.2
CCDC137,0.26,0.08
CCDC138,0.44,0.0
CCDC14,0.5,0.1
CCDC141,0.1,0.06
CCDC144A,0.04,0.0
CCDC146,0.1,0.0
CCDC147,0.2,0.0
CCDC148,0.04,0.02
CCDC149,0.26,0.08
CCDC15,0.04,0.0
CCDC151,0.26,0.14
CCDC155,0.08,0.0
CCDC158,0.66,0.42
CCDC159,0.0,0.02
CCDC167,0.06,0.0
CCDC168,0.16,0.0
CCDC17,0.02,0.0
CCDC170,0.06,0.06
CCDC172,0.04,0.04
CCDC174,0.1,0.0
CCDC176,0.04,0.04
CCDC18,0.02,0.0
CCDC181,0.06,0.0
CCDC22,0.52,0.14
CCDC24,0.02,0.06
CCDC25,0.06,0.0
CCDC28A,0.18,0.02
CCDC28B,0.22,0.14
CCDC33,0.82,0.46
CCDC36,0.04,0.06
CCDC37,0.18,0.1
CCDC39,0.06,0.0
CCDC40,0.06,0.0
CCDC41,0.06,0.0
CCDC42,0.26,0.1
CCDC43,0.22,0.04
CCDC47,1.0,1.0
CCDC50,0.68,0.22
CCDC51,0.16,0.0
CCDC53,0.84,0.82
CCDC57,0.02,0.1
CCDC58,0.2,0.0
CCDC59,0.66,0.42
CCDC6,0.8,0.48
CCDC60,0.06,0.0
CCDC66,0.2,0.0
CCDC67,0.3,0.14
CCDC68,0.06,0.02
CCDC69,0.06,0.06
CCDC7,0.38,0.14
CCDC71,0.04,0.02
CCDC71L,0.18,0.0
CCDC74A,0.06,0.0
CCDC74B,0.04,0.0
CCDC77,0.16,0.0
CCDC8,0.46,0.12
CCDC80,0.06,0.0
CCDC82,0.02,0.0
CCDC84,0.02,0.0
CCDC85A,0.14,0.2
CCDC85B,1.0,0.92
CCDC86,0.3,0.06
CCDC87,0.22,0.0
CCDC88A,1.0,1.0
CCDC88B,0.16,0.12
CCDC88C,0.2,0.12
CCDC89,0.02,0.0
CCDC9,0.1,0.0
CCDC90B,1.0,0.68
CCDC91,0.38,0.34
CCDC92,0.28,0.16
CCDC93,0.16,0.08
CCDC94,0.12,0.04
CCDC97,0.12,0.02
CCER1,0.22,0.14
CCHCR1,0.36,0.2
CCIN,0.1,0.0
CCK,0.34,0.08
CCKAR,0.02,0.04
CCKBR,0.58,0.14
CCL1,0.14,0.3
CCL11,0.68,0.52
CCL13,0.5,0.2
CCL14,0.46,0.28
CCL15,0.58,0.42
CCL16,0.4,0.38
CCL17,0.24,0.34
CCL18,0.46,0.52
CCL19,0.68,0.36
CCL2,0.64,0.62
CCL20,0.54,0.44
CCL21,0.5,0.54
CCL22,0.54,0.4
CCL23,0.22,0.26
