protein,renan_analysis/W_2_BETA_12_D_8_mu_0.0,renan_analysis/W_2_BETA_3_D_8_mu_5e-05
AP4S1,0.3,0.04
AP5B1,0.38,0.16
AP5M1,0.04,0.0
AP5S1,0.0,0.02
AP5Z1,0.28,0.16
APAF1,0.82,0.74
APBA1,0.66,0.6
APBA2,0.7,0.3
APBA3,0.56,0.44
APBB1,1.0,0.42
APBB1IP,0.4,0.42
APBB2,0.38,0.04
APBB3,0.22,0.08
APC,1.0,0.18
APC2,0.78,0.5
APCDD1,0.1,0.06
APCS,0.4,0.4
APEH,0.8,0.38
APEX1,0.96,0.34
APEX2,0.9,0.58
APH1A,0.86,0.6
APH1B,0.4,0.24
API5,0.54,0.44
APIP,0.58,0.68
APITD1-CORT,0.62,0.32
APLF,0.58,0.5
APLN,0.06,0.14
APLP1,0.94,0.52
APLP2,0.86,0.46
APMAP,0.46,0.04
APOA1,0.98,0.96
APOA1BP,0.32,0.16
APOA2,0.48,0.36
APOA4,0.04,0.06
APOA5,0.16,0.2
APOB,0.88,0.5
APOBEC1,0.38,0.38
APOBEC2,0.08,0.1
APOBEC3A_B,0.24,0.0
APOBEC3B,0.2,0.0
APOBEC3C,0.4,0.06
APOBEC3D,0.04,0.0
APOBEC3F,0.4,0.16
APOBEC3G,0.7,0.1
APOC1,0.22,0.2
APOC2,0.04,0.02
APOC3,0.18,0.08
APOC4,0.08,0.02
APOD,0.4,0.14
APOE,0.96,0.74
APOF,0.1,0.0
APOH,0.42,0.34
APOL1,0.02,0.04
APOL2,0.26,0.0
APOL4,0.04,0.0
APOL5,0.2,0.02
APOL6,0.18,0.0
APOM,0.1,0.04
APOO,0.04,0.0
APOOL,0.04,0.0
APOPT1,0.14,0.0
APP,1.0,0.0
APPBP2,0.98,0.84
APPL1,1.0,0.74
APPL2,0.5,0.38
APRT,0.7,0.08
APTX,0.68,0.66
AQP1,0.5,0.42
AQP11,0.04,0.02
AQP2,0.1,0.02
AQP3,0.06,0.08
AQP4,0.14,0.0
AQP5,0.34,0.28
AQR,0.64,0.32
AR,1.0,0.0
ARAF,1.0,0.8
ARAP1,0.6,0.46
ARAP3,0.2,0.04
ARC,0.36,0.1
